time_ps,msd_total_A2,msd_total_std_A2,msd_x_A2,msd_y_A2,msd_z_A2
1.010000000000000000e+02,5.143489548823923769e+02,3.102359254931637906e+02,1.604753878222523440e+02,1.667655945153179289e+02,1.871079725448220756e+02
1.020000000000000000e+02,5.191802007626113209e+02,3.134869662977795883e+02,1.620252757717489374e+02,1.683023912546498764e+02,1.888525337362123935e+02
1.030000000000000000e+02,5.240118606672582473e+02,3.167546207506536007e+02,1.635540537353563479e+02,1.698386935868180672e+02,1.906191133450838038e+02
1.040000000000000000e+02,5.288208749749913977e+02,3.200375644844248768e+02,1.650400881966237705e+02,1.713923070600069138e+02,1.923884797183607702e+02
1.050000000000000000e+02,5.336242164570990099e+02,3.233382657271218932e+02,1.665086787144026914e+02,1.729618313634339586e+02,1.941537063792624735e+02
1.060000000000000000e+02,5.384077679616990508e+02,3.266332262966922713e+02,1.679683755888877954e+02,1.745347844180160735e+02,1.959046079547951820e+02
1.070000000000000000e+02,5.431956216084710150e+02,3.298985130673633535e+02,1.694220215251273203e+02,1.761149803141421444e+02,1.976586197692015787e+02
1.080000000000000000e+02,5.479999156010837851e+02,3.331502317515383425e+02,1.708805279782220055e+02,1.777050490943379941e+02,1.994143385285238992e+02
1.090000000000000000e+02,5.528407510418157926e+02,3.364624249435107117e+02,1.723597217548122842e+02,1.792923584099395384e+02,2.011886708770639700e+02
1.100000000000000000e+02,5.577017535765658067e+02,3.398020791157172766e+02,1.738298406257650299e+02,1.808809493807507920e+02,2.029909635700500417e+02
1.110000000000000000e+02,5.625342961143071534e+02,3.431372792435800534e+02,1.752564609110609979e+02,1.824623237526463413e+02,2.048155114505997574e+02
1.120000000000000000e+02,5.673366290287784750e+02,3.464711378522138716e+02,1.766659045266706016e+02,1.840176884688763153e+02,2.066530360332315581e+02
1.130000000000000000e+02,5.721279412547836500e+02,3.498016732044505375e+02,1.780710283956574642e+02,1.855604926741443421e+02,2.084964201849818437e+02
1.140000000000000000e+02,5.768947474313822568e+02,3.530958304629330655e+02,1.794795333772211166e+02,1.870971248931414834e+02,2.103180891610197136e+02
1.150000000000000000e+02,5.816308404717559597e+02,3.564080314308695847e+02,1.808966257016504358e+02,1.886185394438111302e+02,2.121156753262943369e+02
1.160000000000000000e+02,5.863752888671727987e+02,3.597765820188653834e+02,1.823288569381549848e+02,1.901356698689888276e+02,2.139107620600290716e+02
1.170000000000000000e+02,5.911105903158219235e+02,3.631902978066800074e+02,1.837402243610972619e+02,1.916560692877359600e+02,2.157142966669886732e+02
1.180000000000000000e+02,5.958461174443569917e+02,3.666434969440771283e+02,1.851361708898708116e+02,1.931779401180612297e+02,2.175320064364248651e+02
1.190000000000000000e+02,6.005810507069396635e+02,3.701062346557571914e+02,1.865236345596803744e+02,1.947034581537002111e+02,2.193539579935591064e+02
1.200000000000000000e+02,6.052532835419642652e+02,3.735447260603939981e+02,1.878914947113774190e+02,1.962025349396198806e+02,2.211592538909669656e+02
1.210000000000000000e+02,6.098768633842678355e+02,3.769446244610672920e+02,1.892348266815987188e+02,1.976799449674117000e+02,2.229620917352573883e+02
1.220000000000000000e+02,6.145338051836504292e+02,3.803666406412012293e+02,1.906072016332433350e+02,1.991497804430233032e+02,2.247768231073838194e+02
1.230000000000000000e+02,6.192625040324702468e+02,3.838222909636962186e+02,1.920332766366926478e+02,2.006196984997888535e+02,2.266095288959885750e+02
1.240000000000000000e+02,6.240148018794652671e+02,3.873032789597020269e+02,1.935012263600879692e+02,2.020822470244382885e+02,2.284313284949389526e+02
1.250000000000000000e+02,6.287555446109055310e+02,3.907683873940778767e+02,1.949825334756551740e+02,2.035411688680921429e+02,2.302318422671580151e+02
1.260000000000000000e+02,6.334954617925259299e+02,3.942126726376877741e+02,1.964572895311695788e+02,2.050236380969089680e+02,2.320145341644474684e+02
1.270000000000000000e+02,6.382638394107991644e+02,3.977056839955568535e+02,1.979319510016559605e+02,2.065460295019899206e+02,2.337858589071531696e+02
1.280000000000000000e+02,6.430397024732676527e+02,4.011856877936634760e+02,1.994088790868040348e+02,2.080854252700144684e+02,2.355453981164490358e+02
1.290000000000000000e+02,6.478106593908046307e+02,4.046498542286249744e+02,2.008940383145174451e+02,2.096090865726336290e+02,2.373075345036536419e+02
1.300000000000000000e+02,6.525548103886873150e+02,4.081259608522791495e+02,2.023864331817706272e+02,2.111231094488775000e+02,2.390452677580392447e+02
1.310000000000000000e+02,6.573005565077413621e+02,4.115857461009389908e+02,2.038868603831113262e+02,2.126406979614161230e+02,2.407729981632138845e+02
1.320000000000000000e+02,6.620394441400645746e+02,4.150346121483156594e+02,2.053898342609389260e+02,2.141734872719809459e+02,2.424761226071445890e+02
1.330000000000000000e+02,6.667921809481940727e+02,4.184635461969002677e+02,2.068581714689907471e+02,2.157381908931662053e+02,2.441958185860370918e+02
1.340000000000000000e+02,6.715409050455084525e+02,4.218806155250683787e+02,2.082883274650863257e+02,2.173222535598022773e+02,2.459303240206197643e+02
1.350000000000000000e+02,6.762971032288108972e+02,4.253069758750463052e+02,2.097210461233178194e+02,2.188856421899001816e+02,2.476904149155930099e+02
1.360000000000000000e+02,6.810644553503567522e+02,4.287209233700379514e+02,2.111748920391312936e+02,2.204289435854086037e+02,2.494606197258166844e+02
1.370000000000000000e+02,6.858172009123611588e+02,4.321250014485078168e+02,2.126471596812853875e+02,2.219562898722739703e+02,2.512137513588018010e+02
1.380000000000000000e+02,6.905609246017897931e+02,4.354752200569864158e+02,2.141106122952443798e+02,2.234937078464868989e+02,2.529566044600584860e+02
1.390000000000000000e+02,6.953185936817997117e+02,4.388338740837172054e+02,2.155679549772559653e+02,2.250377816052163382e+02,2.547128570993274082e+02
1.400000000000000000e+02,7.000649637638664444e+02,4.422226366352799118e+02,2.170289846663771698e+02,2.265673156215147230e+02,2.564686634759746084e+02
1.410000000000000000e+02,7.047790841914764997e+02,4.456108325057776369e+02,2.184834533082283201e+02,2.280837173654587389e+02,2.582119135177895259e+02
1.420000000000000000e+02,7.094764088985709805e+02,4.489826558498921827e+02,2.199151172913083485e+02,2.295960938543534269e+02,2.599651977529091482e+02
1.430000000000000000e+02,7.142034552009474737e+02,4.523539028243601479e+02,2.213521887242420121e+02,2.311141475680600195e+02,2.617371189086453569e+02
1.440000000000000000e+02,7.189641534472684725e+02,4.557511263446084513e+02,2.227924344651737556e+02,2.326526273529111677e+02,2.635190916291835492e+02
1.450000000000000000e+02,7.237234943976725390e+02,4.591707161429429220e+02,2.242378544431085174e+02,2.341708116262793737e+02,2.653148283282847046e+02
1.460000000000000000e+02,7.284629803215212860e+02,4.625838577241757434e+02,2.256824856763481932e+02,2.356689600333556314e+02,2.671115346118173193e+02
1.470000000000000000e+02,7.331941334743038396e+02,4.659748154473550130e+02,2.271284250097863264e+02,2.371685869057370724e+02,2.688971215587805546e+02
1.480000000000000000e+02,7.379698139937496535e+02,4.693879252307539218e+02,2.285844257806560620e+02,2.386980360268395600e+02,2.706873521862540883e+02
1.490000000000000000e+02,7.428147405620231893e+02,4.728382666600717812e+02,2.300555722454818408e+02,2.402681458032141677e+02,2.724910225133271524e+02
1.500000000000000000e+02,7.477081085627251014e+02,4.762916990070135057e+02,2.315354828622157584e+02,2.418532700794398238e+02,2.743193556210695760e+02
1.510000000000000000e+02,7.526171014981288181e+02,4.797478456712285606e+02,2.330274442876709031e+02,2.434302662986250709e+02,2.761593909118327588e+02
1.520000000000000000e+02,7.575398204731100122e+02,4.832371324967138548e+02,2.345175996434119838e+02,2.450140878938795197e+02,2.780081329358184803e+02
1.530000000000000000e+02,7.624459343509711289e+02,4.867158408549065598e+02,2.359782509887316451e+02,2.466054113377808221e+02,2.798622720244586048e+02
